pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
150,v,4,1,17,1,,,,,55.556244599982165,56.55612560000736,56.55612560000736,56.55612560000736,56.55612560000736,56.55612560000736,57.555985199986026,57.555985199986026,v,1,0.5228806999512017,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,4,2,18,2,,,,,58.10593760001939,59.105745100067,59.105745100067,59.105745100067,59.105745100067,59.105745100067,60.10573499999009,60.10573499999009,c,1,0.29293869994580746,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,4,3,19,3,,,,,60.4222318000393,61.42223330005072,61.42223330005072,61.42223330005072,61.42223330005072,61.42223330005072,62.42199890001211,62.42199890001211,z,1,0.31140709994360805,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,5,0,20,0,,,,,62.755241400096565,63.75511810008902,63.75511810008902,63.75511810008902,63.75511810008902,63.75511810008902,64.75504279998131,64.75504279998131,x,1,0.27328309998847544,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,5,1,21,1,,,,,65.05510930006858,66.03820650000125,66.03820650000125,66.03820650000125,66.03820650000125,66.05495980009437,67.03840540000238,67.03840540000238,v,1,0.2944742999970913,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,5,2,22,2,,,,,67.35482050001156,68.3546248000348,68.3546248000348,68.3546248000348,68.3546248000348,68.3546248000348,69.35448780003935,69.35448780003935,c,1,0.2574683999409899,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,5,3,23,3,,,,,69.63787289999891,70.63755770004354,70.63755770004354,70.63755770004354,70.63755770004354,70.63755770004354,71.63788759999443,71.63788759999443,z,1,0.37882350001018494,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,6,0,24,0,,,,,72.03737040003762,73.03706770006102,73.03706770006102,73.03706770006102,73.03706770006102,73.03706770006102,74.03711480007041,74.03711480007041,x,1,0.29538180003874004,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,6,1,25,1,,,,,74.3541785000125,75.35382190009113,75.35382190009113,75.35382190009113,75.35382190009113,75.35382190009113,76.35354730009567,76.35354730009567,v,1,0.6268812000053003,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,6,2,26,2,,,,,77.00354400009383,78.00351290008985,78.00351290008985,78.00351290008985,78.00351290008985,78.00351290008985,79.0031883000629,79.0031883000629,x,0,0.4367771000834182,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,6,3,27,3,,,,,79.46976960008033,80.45301759999711,80.45301759999711,80.45301759999711,80.45301759999711,80.46996070002206,81.45334180002101,81.45334180002101,z,1,0.5418729999801144,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,7,0,28,0,,,,,82.0203319999855,83.019524000003,83.019524000003,83.019524000003,83.019524000003,83.019524000003,84.01948530005757,84.01948530005757,x,1,0.3439691999228671,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,7,1,29,1,,,,,84.38591750001069,85.36922410002444,85.36922410002444,85.36922410002444,85.36922410002444,85.38609230006114,86.36923080007546,86.36923080007546,v,1,0.5891123000765219,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,7,2,30,2,,,,,86.98571740009356,87.98541339999065,87.98541339999065,87.98541339999065,87.98541339999065,87.98541339999065,88.98528680007439,88.98528680007439,c,1,0.5025094000156969,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
